anno,IstatComune,Regione,Provincia,Comune,Popolazione,Dato riferito a,Frazione umida(1) (t),Verde (t), Carta e cartone (t),Vetro (t),Legno (t),Metallo (t),Plastica (t),RAEE (t),Tessili (t),Selettiva (t),Rifiuti da C e D (t),Pulizia stradale a recupero (t),Ingombranti misti a recupero (t),Altro (t),Totale RD (t),Ingombranti a smaltimento (t),Indifferenziato (t),Totale RU (t),Percentuale RD (%)
2010,081024,Sicilia,Trapani,PETROSINO,7674,Comune,216,800,26,380,252,120,106,400,0,780,2,909,59,740,2,448,-,0,55,-,-,0,580,-,668,212,-,2778,265,3446,477,19,"39,00%",,,
2010,082001,Sicilia,Palermo,ALIA,3907,Comune,-,-,-,-,-,-,-,12,680,-,-,-,-,-,1,20,13,700,20,300,1102,890,1136,890,1,"21,00%",,,,,,,,,,
2010,082002,Sicilia,Palermo,ALIMENA,2187,Comune,-,-,26,120,-,6,260,6,160,5,760,7,320,-,-,-,-,-,-,51,620,9,520,735,10,796,150,6,"48,00%",,,,,,,
2010,082003,Sicilia,Palermo,ALIMINUSA,1334,Comune,146,290,9,950,12,240,36,90,1,380,2,768,3,710,2,560,-,0,46,-,-,-,1,200,216,234,5,20,194,875,416,129,51,"96,00%",,
2010,082004,Sicilia,Palermo,ALTAVILLA MILICIA,7177,Comune,-,18,0,-,-,-,-,1,560,7,400,-,0,40,-,-,-,-,27,0,36,740,4505,950,4569,690,0,"59,00%",,,,,,,,
2010,082005,Sicilia,Palermo,ALTOFONTE,10316,Comune,33,471,1,0,31,402,12,128,1,0,1,335,3,64,7,160,-,0,115,-,-,-,-,90,675,11,840,4017,170,4119,685,2,"20,00%",,,
2010,082006,Sicilia,Palermo,BAGHERIA,56336,Comune,-,117,960,22,420,-,35,720,1,100,0,140,60,660,-,0,61,-,-,-,23,760,261,821,358,960,23805,440,24426,221,1,"7,00%",,,,
2010,082007,Sicilia,Palermo,BALESTRATE,6598,Comune,-,-,97,530,49,300,32,760,-,13,880,21,750,-,0,264,-,-,3,664,-,219,148,5,496,3221,450,3446,94,6,"36,00%",,,,,
2010,082008,Sicilia,Palermo,BAUCINA,2008,Comune,-,-,7,280,0,360,0,770,-,3,560,5,210,-,-,-,-,-,-,17,180,4,350,926,20,947,550,1,"81,00%",,,,,,,
2010,082009,Sicilia,Palermo,BELMONTE MEZZAGNO,11146,Comune,-,-,-,-,-,-,-,-,-,-,-,-,-,3,260,3,260,4,120,4347,10,4354,390,0,"8,00%",,,,,,,,,,,
2010,082010,Sicilia,Palermo,BISACQUINO,4882,Comune,-,-,-,79,500,47,580,92,940,12,260,301,100,-,8,131,-,-,-,28,20,569,531,18,560,1441,130,2029,221,28,"7,00%",,,,,
2010,082011,Sicilia,Palermo,BOLOGNETTA,4096,Comune,-,34,0,94,870,45,0,20,800,5,913,18,0,74,560,-,0,10,-,-,-,6,220,299,373,39,260,2628,870,2967,503,10,"9,00%",,,
2010,082012,Sicilia,Palermo,BOMPIETRO,1503,Comune,-,-,17,0,-,-,6,340,6,230,1,100,-,0,40,-,-,-,-,30,710,15,180,381,380,427,270,7,"19,00%",,,,,,,
2010,082013,Sicilia,Palermo,BORGETTO,7237,Comune,11,490,3,0,41,500,9,680,3,500,-,6,310,0,840,0,210,0,14,-,-,-,-,76,544,-,2695,990,2772,534,2,"76,00%",,,,
2010,082014,Sicilia,Palermo,CACCAMO,8382,Comune,253,910,-,46,570,113,560,14,240,9,972,14,640,10,620,-,0,160,-,-,-,1,130,464,802,43,560,2253,693,2762,55,16,"83,00%",,,
2010,082015,Sicilia,Palermo,CALTAVUTURO,4219,Comune,-,-,83,80,-,-,2,180,18,790,9,80,-,0,327,-,-,-,5,560,119,17,23,780,1416,640,1559,437,7,"63,00%",,,,,,
2010,082016,Sicilia,Palermo,CAMPOFELICE DI FITALIA,553,Comune,-,-,-,-,-,-,-,-,-,-,-,-,2,980,-,2,980,-,195,630,198,610,1,"50,00%",,,,,,,,,,,,
2010,082017,Sicilia,Palermo,CAMPOFELICE DI ROCCELLA,6939,Comune,232,230,172,420,103,20,138,40,26,540,4,576,22,390,23,320,-,0,139,-,-,-,-,722,675,66,500,4305,218,5094,393,14,"19,00%",,,
2010,082018,Sicilia,Palermo,CAMPOFIORITO,1353,Comune,-,-,7,560,4,839,4,140,4,459,6,290,5,660,0,140,0,50,-,-,-,-,33,138,-,511,970,545,108,6,"8,00%",,,,,
2010,082019,Sicilia,Palermo,CAMPOREALE,3489,Comune,-,-,0,220,0,923,-,0,368,1,200,5,430,-,-,-,-,-,-,8,141,8,580,1778,620,1795,341,0,"45,00%",,,,,,,
2010,082020,Sicilia,Palermo,CAPACI,10623,Comune,-,61,40,-,15,420,113,865,48,380,-,0,65,-,0,15,-,-,-,0,170,238,955,-,5965,790,6204,745,3,"85,00%",,,,,,
2010,082021,Sicilia,Palermo,CARINI,36106,Comune,163,345,218,950,842,794,39,620,224,360,23,210,109,645,4,870,4,50,0,190,-,-,-,-,1631,34,-,22338,750,23969,784,6,"81,00%",,,
2010,082022,Sicilia,Palermo,CASTELBUONO,9301,Comune,414,60,25,960,208,500,297,980,14,980,12,639,59,260,48,880,-,0,589,-,-,-,24,340,1107,188,37,320,2479,53,3623,561,30,"56,00%",,
